"metric","pred","lwr","upr","mgmtvar"
"abundance",0.225175195980788,0.149531620688226,0.324484783442985,"AE applied"
"occupancy",0.294048603671054,0.168704222178644,0.460889064565872,"AE applied"
"productivity",0.82174056540903,0.593677593838151,0.935666585354531,"AE applied"
"abundance",0.15200465855699,0.0853834720961233,0.256054853461869,"AE.level basic"
"occupancy",0.232580519514152,0.117132437764583,0.409091051243774,"AE.level basic"
"productivity",0.654318727834112,0.221035853246809,0.926613389656414,"AE.level basic"
"abundance",0.32514371482351,0.200363564347577,0.480898971208934,"AE.level higher"
"occupancy",0.362413719593381,0.180104710034737,0.595278906789786,"AE.level higher"
"productivity",0.881533042918511,0.625541489302424,0.970713939487545,"AE.level higher"
"abundance",0.40357085278727,0.235295412683939,0.598070280636511,"reserve.desig applied"
"occupancy",0.571201547676729,0.350539986515976,0.766772669897012,"reserve.desig applied"
"abundance",0.0976303059676712,0.0518594972121799,0.176287109926721,"mowing reduced"
"productivity",0.46414590978165,0.227956608045745,0.717594279914725,"mowing reduced"
"abundance",0.239239698285115,0.125242280137461,0.408539121263672,"grazing applied"
"productivity",0.164000790911712,0.0566330095055952,0.39063365182529,"grazing applied"
"abundance",0.189471893568064,0.0602699118816672,0.460052584409675,"grazing reduced"
"productivity",0.17254673859442,0.0285188977963449,0.596977231519351,"grazing reduced"
"abundance",0.899288080347833,0.0789889144299971,0.998925519668972,"fertpest reduced"
"productivity",0.980028209791714,0.148343160916854,0.999927668359831,"fertpest reduced"
"abundance",0.140872441575955,0.0515998854830909,0.330733776892854,"nest.protect applied"
"productivity",0.434047530557817,0.283396869325626,0.597957478534577,"nest.protect applied"
"abundance",0.0400875295231864,0.00385399702052675,0.310716749769157,"predator.control applied"
"productivity",0.302349639134641,0.039995001345956,0.818455180499381,"predator.control applied"
"abundance",0.235922901730982,0.106694383230691,0.44389550644623,"water applied"
"occupancy",0.441571837487029,0.118870928813786,0.822531743156764,"water applied"
"productivity",0.369685840683366,0.150882270871369,0.659388056740338,"water applied"
